Date,total_cases,total_deaths,log_total_cases,log_total_deaths,tweet_count,favorite_count,retweet_count,sentiment
2020-01-23,654,18,2.815577748324267,1.2552725051033058,6427,43605,16548,0.07350224054768949
2020-01-24,941,26,2.9735896234272565,1.414973347970818,5840,46585,16407,0.09144136986301396
2020-01-25,1434,42,3.156549151331781,1.6232492903979003,4194,39124,14920,0.08090512637100558
2020-01-26,2118,56,3.3259259557714658,1.7481880270062005,3398,16882,7865,0.06481412595644527
2020-01-27,2927,82,3.4664227224337916,1.9138138523837167,4483,24535,10741,0.09473537809502562
2020-01-28,5578,131,3.7464785099300304,2.117271295655764,4555,28238,11361,0.10811400658616893
2020-01-29,6166,133,3.7900035203904903,2.123851640967086,4462,21045,9184,0.09000930076199032
2020-01-30,8234,171,3.9156108626614654,2.2329961103921536,3884,16462,7730,0.09889392378990737
2020-01-31,9927,213,3.9968180218795153,2.3283796034387376,4038,31988,10688,0.09603870728083236
2020-02-01,12038,259,4.080554338988772,2.4132997640812515,3232,18913,8199,0.05624832920792077
2020-02-02,16787,362,4.224973090428832,2.558708570533166,2949,14387,6290,0.07908572397422874
2020-02-03,19881,426,4.298438225310759,2.6294095991027198,4506,47083,14713,0.07183945849977799
2020-02-04,23892,492,4.378252506075033,2.69196510276736,5619,33763,13998,0.07068225662929371
2020-02-05,27635,564,4.4414594689177935,2.751279103983342,5136,31957,12613,0.0797664330218068
2020-02-06,30794,634,4.488466105437689,2.8020892578817325,4341,35566,13086,0.08578650080626575
2020-02-07,34391,719,4.536444804149078,2.8567288903828825,4791,28375,13046,0.05594879983301988
2020-02-08,37120,806,4.569607967546824,2.9063350418050904,3828,23138,9762,0.033636415882967494
2020-02-09,40150,906,4.603685549614699,2.957128197676813,3501,26580,12918,0.0299774635818337
2020-02-10,42762,1013,4.631058009180596,3.0056094453602795,4952,29610,13096,0.06897463651050091
2020-02-11,44802,1113,4.651297401711899,3.046495164334708,4602,24714,9900,0.08404365493263807
2020-02-12,45221,1118,4.655340161938574,3.0484418035504044,4646,24651,10391,0.09136155832974586
2020-02-13,60368,1371,4.780806787856919,3.137037454789512,4623,27437,10894,0.10864038503136504
2020-02-14,66885,1523,4.825328731405288,3.1826999033360424,4247,28950,11326,0.11510859430186053
2020-02-15,69030,1666,4.839037873388307,3.2216749970707683,2836,23572,9646,0.06758452045134006
2020-02-16,71224,1770,4.8526263603680855,3.2479732663618064,3102,20533,8909,0.05921266924564787
2020-02-17,73258,1868,4.864855057915473,3.2713768718940743,4463,24879,11846,0.08725464933900942
2020-02-18,75136,2007,4.875848070895482,3.302547372487485,5222,25225,9805,0.09569078896974342
2020-02-19,75639,2122,4.878745778536926,3.3267453795653217,4268,20022,8920,0.09553828491096526
2020-02-20,76197,2247,4.8819378727950635,3.351603072419129,4808,23264,9678,0.08057144342762038
2020-02-21,76819,2251,4.885468649388534,3.3523754950005196,4363,28823,12432,0.08015019482007782
2020-02-22,78572,2458,4.895267807973824,3.3905818785504347,3024,14970,6313,0.042304166666666684
2020-02-23,78958,2469,4.897396139155446,3.392521089931932,3158,19967,8833,0.03810750474984166
2020-02-24,79561,2629,4.900700233121988,3.4197905861063624,5016,29109,13919,0.05557454146730487
2020-02-25,80406,2708,4.9052884575751445,3.4326486600131063,4693,30810,13107,0.06763015128915435
2020-02-26,81388,2770,4.910560376412995,3.4424797690644486,4830,25897,11441,0.06987910973084911
2020-02-27,82746,2814,4.917747008853616,3.449324093098727,5270,36259,14633,0.10066681214421244
2020-02-28,84112,2872,4.924857959674349,3.4581844355702622,5164,41018,14412,0.09394728892331533
2020-02-29,86011,2941,4.934553996985496,3.468495024507069,3089,24211,9083,0.0701210100356104
2020-03-01,88369,2996,4.946299940464344,3.4765418090274287,3164,24344,9939,0.06417989886219969
2020-03-02,90306,3085,4.955716606131056,3.4892551683692603,4352,23748,10099,0.08001583180147055
2020-03-03,92840,3160,4.96773513178388,3.4996870826184034,4580,30219,17403,0.08842443231441048
2020-03-04,95120,3254,4.978271841610635,3.5124175486008395,4258,27899,12240,0.09213851573508686
2020-03-05,97886,3348,4.990720581920336,3.5247854493212216,4472,23311,10252,0.09246914132379236
2020-03-06,101801,3460,5.0077520441338335,3.5390760987927767,3695,23834,9106,0.10169907983761872
2020-03-07,105847,3558,5.024678553409665,3.551205943747906,2578,18375,9093,0.05004076803723812
2020-03-08,109821,3802,5.040685393958174,3.5800121125294244,2764,18169,7350,0.0753410998552823
2020-03-09,113590,3988,5.055340099544182,3.6007551496396184,3716,21523,7956,0.0870923842841766
2020-03-10,118620,4262,5.074157919697316,3.629613445378183,4086,22325,8457,0.06463504650024507
2020-03-11,125875,4615,5.0999394835616725,3.6641717053619303,4066,23101,9642,0.07655892769306444
2020-03-12,128352,4720,5.108402640301552,3.673941998634088,3725,35034,9901,0.06492998657718135
2020-03-13,145205,5404,5.161981571150733,3.732715340349993,3364,17919,6801,0.061658680142687286
2020-03-14,156101,5819,5.193405685209059,3.7648483571934106,2178,12112,5095,0.05198466483011939
2020-03-15,167454,6440,5.223895526060296,3.808885867359812,2139,12537,4988,0.04418293595137912
2020-03-16,181574,7126,5.259053661008138,3.8528458180149974,3542,16495,6660,0.07024666854884261
2020-03-17,197102,7905,5.2946910311011415,3.8979018742682277,3045,13351,4888,0.07428912972085391
2020-03-18,214821,8733,5.332076733909873,3.9411634601584726,3033,12464,4829,0.07389666996373243
2020-03-19,242570,9867,5.3848370882036845,3.9941851282023166,3071,17727,5493,0.03599755779876272
2020-03-20,272208,11299,5.4349008846615865,4.053040008642746,2534,12432,5125,0.0705958168902922
2020-03-21,304507,12973,5.483597280635332,4.11304041808782,2017,14928,4929,0.06888616757560725
2020-03-22,336953,14651,5.5275693273871855,4.165867268352943,2611,16616,6182,0.10935254691689032
2020-03-23,378231,16505,5.5777571209585215,4.21761552866633,2653,24677,8147,0.0766276290991332
2020-03-24,418041,18625,5.621218877948602,4.2700962814203285,2500,9668,4289,0.0475520399999999
2020-03-25,467653,21181,5.669923724695058,4.325946460220463,2368,8353,3710,0.0693931587837838
2020-03-26,529591,23970,5.7239405959868765,4.379668034033654,2394,9581,4280,0.0808311194653299
2020-03-27,593291,27198,5.7732677603044475,4.434536969442331,2199,12126,6430,0.08495638926784911
2020-03-28,660693,30652,5.819999705510485,4.486458816884648,1911,14566,5240,0.08005944531658822
2020-03-29,720140,33925,5.857416934371549,4.5305198563317735,1585,7182,4709,0.0006164668769716072
2020-03-30,782389,37582,5.8934227358581674,4.5749798882139885,2216,9481,4514,0.047642148014440465
2020-03-31,857487,42107,5.933227544608612,4.6243543003170124,2540,14653,7291,0.012201496062992112
2020-04-01,932605,47180,5.969697739519275,4.673757936549576,2470,12600,5783,0.0413695546558704
2020-04-02,1013466,52983,6.005809183458164,4.724136545251493,2766,11223,5240,0.1384313087490966
